name,Predicted value,Difference from optimal G
Cd-Co,-0.5613650211207009,0.6425650211207008
Hf-Co,-2.275651972449537,2.356851972449537
Ta-Co,-2.2337902573349626,2.3149902573349626
W-Co,-0.9268008593092352,1.008000859309235
Re-Co,-0.6176354300546296,0.6988354300546296
Os-Co,-0.14856930983149447,0.22976930983149446
Ir-Co,-0.021001286748075998,0.10220128674807599
Pt-Co,0.26857669457509015,0.18737669457509015
Au-Co,0.569446221117262,0.48824622111726196
Ni-Ni,0.22960523903968252,0.14840523903968253
Cu-Ni,0.26992117494027756,0.18872117494027757
Zn-Ni,-0.5981368612614417,0.6793368612614417
Y-Ni,-2.2507034514329782,2.331903451432978
Zr-Ni,-2.2950652695690894,2.3762652695690893
Nb-Ni,-2.0497837226493805,2.1309837226493804
Mo-Ni,-0.934572476498545,1.015772476498545
Tc-Ni,-0.4087030340320104,0.4899030340320104
Ru-Ni,-0.10382969687193458,0.18502969687193457
Rh-Ni,0.10058899909995792,0.01938899909995792
Pd-Ni,0.6858498669851186,0.6046498669851186
Ag-Ni,0.3393608650944443,0.2581608650944443
Cd-Ni,-0.3393237131876324,0.4205237131876324
Hf-Ni,-2.3177156776447756,2.3989156776447755
Ta-Ni,-2.31331217704528,2.39451217704528
W-Ni,-0.6679278700934946,0.7491278700934947
Re-Ni,-0.6962645591861112,0.7774645591861111
Os-Ni,-0.18939652516300592,0.2705965251630059
Ir-Ni,-0.06514331734089708,0.14634331734089706
Pt-Ni,0.5085440819000904,0.4273440819000904
Au-Ni,0.7778211125617064,0.6966211125617063
Cu-Cu,0.24120303757916658,0.1600030375791666
Zn-Cu,-0.5112363838887564,0.5924363838887563
Y-Cu,-2.547382367113997,2.6285823671139967
Zr-Cu,-2.52486749410659,2.6060674941065898
Nb-Cu,-2.10561077729614,2.18681077729614
Mo-Cu,-1.055495379093452,1.136695379093452
Tc-Cu,-0.4406411962776454,0.5218411962776455
Ru-Cu,-0.21121121968026788,0.29241121968026784
Rh-Cu,0.15229803989916427,0.07109803989916427
Pd-Cu,0.5707026227454366,0.4895026227454366
Ag-Cu,0.3113423755699315,0.2301423755699315
Cd-Cu,-0.5611125164160712,0.6423125164160712
Hf-Cu,-2.598625843104499,2.679825843104499
Ta-Cu,-2.405604731613336,2.486804731613336
W-Cu,-0.9793599061059522,1.0605599061059523
Re-Cu,-0.6481557129037037,0.7293557129037036
Os-Cu,-0.23959256792590275,0.3207925679259027
Ir-Cu,-0.03053660462085738,0.11173660462085738
Pt-Cu,0.3766677059389789,0.2954677059389789
Au-Cu,0.31009449628564817,0.22889449628564817
Zn-Zn,-0.9170762011652779,0.9982762011652779
Y-Zn,-1.9831051601277765,2.0643051601277764
Zr-Zn,-2.0221485598361104,2.1033485598361104
Nb-Zn,-1.9551477547057536,2.0363477547057536
Mo-Zn,-1.5496122486265875,1.6308122486265875
Tc-Zn,-0.7905236560364418,0.8717236560364419
Ru-Zn,-0.5765714168295634,0.6577714168295634
Rh-Zn,-0.6938245326643521,0.7750245326643521
Pd-Zn,-0.5362604069896825,0.6174604069896825
Ag-Zn,-0.8900535045402779,0.9712535045402779
Cd-Zn,-0.7617017752439819,0.8429017752439818
Hf-Zn,-2.136873071377777,2.218073071377777
Ta-Zn,-2.211762831169444,2.292962831169444
W-Zn,-1.7530283751029099,1.8342283751029098
Re-Zn,-0.8059053471300927,0.8871053471300927
Os-Zn,-0.5543083189771825,0.6355083189771824
Ir-Zn,-0.6474709706097223,0.7286709706097223
Pt-Zn,-0.5913036566143519,0.6725036566143519
